Ottoman,,,"A Muslim empire that lasted from 1299 to 1923. Established in Anatolia, it ruled much of southeastern Europe, western Asia and North Africa at the height of its power.",http://en.wikipedia.org/wiki/Ottoman_Empire,
Oxbridge,,,Oxbridge is the collaboration or the blend between the University of Oxford and the University of Cambridge in England.,http://en.wikipedia.org/wiki/Oxbridge,
Oxford Center for South Asian Studies,,,A research center for South Asian studies housed at the University of Oxford.,http://www.sant.ox.ac.uk/asian/,
Past and Present,,,A historical research journal founded in 1952.,http://past.oxfordjournals.org/,
Persian,Farsi,,"The official language of Iran, with over 20 million speakers",http://en.wikipedia.org/wiki/Persian_language,
Pontianak sultanate,,,Sultanate established in Pontianak (part of modern-day Indonesia) in 1771 by explorers from Hadhramaut.,http://en.wikipedia.org/wiki/Pontianak_Sultanate,
Positivism,,,A philosophy of science that holds that the only authentic knowledge is that which is based on sense experience and positive verification. This positivist approach was developed by Auguste Comte in the early 19th century.,http://en.wikipedia.org/wiki/Positivism,
post modernism,,,"Post Modernism refers to the movement in the arts following Modernism. It is usually associated with difference, separation, textuality and skepticism. It is a departure from all that is linked with the modern, such as identity, unity, authority and certainty. Thus it is a rejection of the scientific approach that became prevalent during the Enlightenment.",http://en.wikipedia.org/wiki/Postmodernism,
power,,,The ability or capacity to do something or act in a particular way.,http://en.wikipedia.org/wiki/Power_(philosophy),
Presidency College,Presidency University,,"Presidency University, Kolkata, formerly Hindu College and Presidency College,is a public state university located in Kolkata, West Bengal.  Established in 1817, it is one of the oldest colleges in India.","http://en.wikipedia.org/wiki/Presidency_University,_Kolkata",
property,,,That which belongs to someone or something.,http://en.wikipedia.org/wiki/Property,
Puranik Hinduism,,,"Puranik Hinduism is the Hinduism that is depicted in the genre of important Hindu religious texts, Puranas. The Puranas are written in the form of stories that are related by one person to another. They stress on a particular deity and employ an abundance of religious and philosophical concepts.",http://en.wikipedia.org/wiki/Puranas,
Quran,,,The sacred text of Islam.,http://en.wikipedia.org/wiki/Quran,
radicalism,,,"Radicalism is the term that is used to describe the political ideology that involves  supporting or seeking political reforms that include extreme and dramatic changes to the social order. Radicalism could be applied toward the liberals, the right, the left or any other political ideology.",http://en.wikipedia.org/wiki/Radicalism_(historical),
Rajbongshi,,,"A community that lives mainly in West Bengal, Bangladesh and Assam",http://en.wikipedia.org/wiki/Koch_Rajbongshi_people,
Raychaudhuri-Morris Controversy,,,See the important exchanges in The Indian Economic and Social History Review,Vol. 5,
Renaissance,,,The revival of European art and literature under the influence of classical models in the 14th-16th centuries.,http://en.wikipedia.org/wiki/Renaissance,
Rikhta,,,Persianized form of the Khariboli dialect of Urdu,http://en.wikipedia.org/wiki/Rekhta,
Santal,,,"The largest tribal community in India, who live mainly in Eastern India",http://en.wikipedia.org/wiki/Santal,
Satyagraha,,,Philosophy and practice of nonviolent resistance espoused by Gandhi.,http://en.wikipedia.org/wiki/Satyagraha,
Sharia,,,The moral code and religious law of Islam.,http://en.wikipedia.org/wiki/Sharia,
Shia,,,"One of two main branches of Islam, it holds the fourth caliph, Ali, to be the true successor of the prophet Muhammad.",http://en.wikipedia.org/wiki/Shia,
social history,,,"Social History is divided into two branches: the new social history and the old social history. The former concentrates on the politics and diplomacy of events while the latter concentrates on the topics and people without a central theme. This transition from old social history to new social history took place in the 1960s. Moreover, since the 1990s social history is now beginning to focus on cultural history, that is the importance of language, beliefs and assumptions.",http://en.wikipedia.org/wiki/Social_history,
Sri Lankan Civil War,,,"The Sri Lankan Civil War was a conflict fought on the island of Sri Lanka. Beginning on 23 July 1983, there was an intermittent insurgency against the government by the Liberation Tigers of Tamil Eelam (the LTTE, also known as the Tamil Tigers), a separatist militant organisation which fought to create an independent Tamil state called Tamil Eelam in the north and the east of the island. After a 26-year military campaign, the Sri Lankan military defeated the Tamil Tigers in May 2009, bringing the civil war to an end.",http://en.wikipedia.org/wiki/Sri_Lankan_Civil_War,
St. Stephen's College,,,"One of the premiere colleges of India, located in Delhi.  It was founded in 1881.",http://www.ststephens.edu/,
structuralism,,,"Structuralism is an approach to analyze a specific field as a complex system of interrelated parts. Its basis is on the foundation that lies beneath the surface of meaning. It began with the study of linguistics, but then began to be applied to several other fields.",http://en.wikipedia.org/wiki/Structuralism,
Subaltern Studies,,,"The field that is devoted to the study of history from below, especially realms of social life and culture that are obscured by colonial records. This term could be applied more broadly to other projects that seek to challenge dominant epistemes in the pursuit of more situated forms of knowledge.",http://en.wikipedia.org/wiki/Subaltern_Studies,
subcontinent,,,"The part of Asia south of the Himalayas, consisting of Pakistan, India, Bangladesh, Nepal, Bhutan and Sri Lanka",http://en.wikipedia.org/wiki/Indian_subcontinent,
Sufi,,,A Muslim ascetic and mystic,http://en.wikipedia.org/wiki/Sufi,
sultanate,,,"Territory held by a sultan, which is a political office that was first created by the Seljuks (1038-1194).",http://en.wikipedia.org/wiki/Sultanate,
Sunna,Sunnah,,The part of Islamic law based on the Prophet's words and actions accepted as authoritative by Muslim scholars,http://en.wikipedia.org/wiki/Sunnah,
Tamil,,,The Dravidian language of the Tamils spoken mainly in India and Sri Lanka.,http://en.wikipedia.org/wiki/Tamil_language,
Tang Dynasty,,,A Chinese dynasty (618-907) with its capital at Chang'an,http://en.wikipedia.org/wiki/Tang_dynasty,
tax,,,"To impose a financial charge or other levy upon a taxpayer, usually an individual, by a state such that failure to pay is punishable by law.",http://en.wikipedia.org/wiki/Tax,
Tebhaga movement,,,A Communist-led sharecropper movement in Bengal in 1946,http://en.wikipedia.org/wiki/Tebhaga_movement,
textile,,,A flexible woven material consisting of a network of natural or artificial fibers often referred to as thread or yarn.,http://en.wikipedia.org/wiki/Textiles,
