Mediterranean Sea,http://en.wikipedia.org/wiki/Mediterranean#,Mediterranean Sea,,-9999,-9999,-9999,35,20,,sea
Sumenep,http://en.wikipedia.org/wiki/Sumenep_Regency#,Sumenep,,Indonesia,Jawa Timur,Sumenep,-7.016667,113.866667,,city/town
Say�_n,http://en.wikipedia.org/wiki/Seiyun#,Say�_n,,Yemen,_a_ramawt,Say�_n,15.943333,48.793333,,city/town
Yemen,http://www.al-bab.com/yemen/gov/gov.htm#,Yemen,,Yemen,-9999,-9999,15.5,48.5,,country
Mu__faz_at _a_ramawt,http://en.wikipedia.org/wiki/Hadhramaut#,Mu__faz_at _a_ramawt,,Yemen,_a_ramawt,-9999,16,49,,state/province
Tarim,"http://en.wikipedia.org/wiki/Tarim,_Yemen#",Tarim,,Yemen,_a_ramawt,Tarim,16.056944,48.998889,,city/town
Mirbat,http://en.wikipedia.org/wiki/Mirbat#,Mirbat,,Oman,Z_uf_r,Mirbat,16.984721,54.691469,,city/town
_al_lah,http://en.wikipedia.org/wiki/Salalah#,_al_lah,,Oman,Z_uf_r,_al_lah,17.015046,54.09237,,city/town
Saudi Arabia,http://www.state.gov/r/pa/ei/bgn/3584.htm#,Saudi Arabia,,Saudi Arabia,-9999,-9999,24,44.5,,country
Mecca,http://en.wikipedia.org/wiki/Mecca#,Mecca,,Saudi Arabia,Makkah,Mecca,21.42738,39.81484,,city/town
Arabian Peninsula,http://en.wikipedia.org/wiki/Arabia#,Arabian Peninsula,,-9999,-9999,-9999,24,44.5,"The peninsula typically includes the nations of Kuwait, Bahrain, Qatar, the United Arab Emirates, Oman, Yemen, and Saudi Arabia.",peninsula
Bij_pur,http://www.bijapur.nic.in/#,Bij_pur,,India,Karn_taka,Bij_pur,16.666667,75.916667,,city/town
Hazrat Nizamuddin Auliya Dargah,http://en.wikipedia.org/wiki/Nizamuddin_Dargah#,Hazrat Nizamuddin Auliya Dargah,,India,Delhi,Delhi,28.591428,77.241956,,holy site
Humayun's Tomb,http://whc.unesco.org/en/list/232#,Humayun's Tomb,,India,Delhi,Delhi,28.593344,77.250689,,historic site
Sumatra,http://en.wikipedia.org/wiki/Sumatra#,Sumatra,Dutch Sumatra,Indonesia,-9999,-9999,0,102,,island
Java,http://www.indonesia.travel/en/discover-indonesia/region-detail/2/java#,Java,,Indonesia,-9999,-9999,-7.491667,110.004444,,island
Borneo,http://en.wikipedia.org/wiki/Borneo#,Borneo,,Indonesia,-9999,-9999,1,114,,island
Medina,http://en.wikipedia.org/wiki/Medina#,Medina,,Saudi Arabia,Al Mad_nah,Medina,24.468611,39.614167,,city/town
Aden,http://en.wikipedia.org/wiki/Aden#,Aden,,Yemen,Aden,Aden,12.766248,45.047699,,city/town
Center for History and Economics,http://www.fas.harvard.edu/~histecon/#,Center for History and Economics,,United States of America,Massachusetts,Cambridge,42.375354,-71.113248,,research institution
Kelantan,http://en.wikipedia.org/wiki/Kelantan#,Kelantan,,Malaysia,Kelantan,-9999,5.333333,102,,state/province
Ajmer,http://ajmermc.org/#,Ajmer,,India,R_jasth_n,Ajmer,26.45,74.633333,,city/town
