leftist rule,"Leftist Rule could be described as the rule or the political power of the Left. The Left in politics means those who support social change to create a more equal society. Their political ideology is based on socialism, anarchism and communism. West Bengal is one of the Indian states where the political power of the Left is still very prominent.",http://en.wikipedia.org/wiki/Left-wing_politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Library,MS165.001.003.0000,National Library of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI M,,http://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babri Masjid Incident,"On December 6th, 1992, a mob of Hindu militants demolished the Babri Masjid or Mosque of Babur in the historic Indian town of Ayodhya and attacked other Muslim targets in the north. Hindu extremists believe that a Hindu temple should have been built in its place since it is the birthplace of an important Hindu god, Lord Rama. This event lead to the worst inter-community conflict since the partition in 1947.",http://en.wikipedia.org/wiki/Babri_Mosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat Riots,"The Gujrat Riots were the result of the burning of the Sabarmati Express train at Godhra city in the state of Gujarat. This took place on February 27, 2002 when the train was forcibly attacked by a large Muslim mob. This resulted in the death of many Hindu passengers who were returning from the holy city of Ayodhya and consequently severe massacres and riots that led to the death of many thousand Hindus and Muslims.",http://en.wikipedia.org/wiki/2002_Gujarat_violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concept,Definition,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadralok,"prosperous, well-educated people, typically Bengalis, regarded as members of a social class",http://en.wikipedia.org/wiki/Bhadralok,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communist Party of India,"The CPI(M) was formed at the Seventh Congress of the Communist Party of India held in Calcutta from October 31 to November 7, 1964. The CPI(M) was born in the struggle against revisionism and sectarianism in the communist movement at the international and national level, in order to defend the scientific and revolutionary tenets of Marxism-Leninism and its appropriate application in the concrete Indian conditions. The CPI(M) combines the heritage of the anti-imperialist struggle and the revolutionary legacy of the undivided Communist Party which was founded in 1920. Over the years, the Party has emerged as one of the foremost Left forces in the country.",http://www.cpim.org/content/about-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kayasthas,a Hindu caste members of which were traditionally employed as scribes,http://en.wikipedia.org/wiki/Kayastha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presidency College,MS165.001.003.00001,MS165.001.008.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raychaudhuri-Morris Controversy,See the important exchanges in The Indian Economic and Social History Review,Vol. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Stevens College,"One of the premiere colleges of India, located in Delhi.  It was founded in 1881.","http://en.wikipedia.org/wiki/St._Stephen%27s_College,_Delhi,_India; http://www.ststephens.edu/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadhramauti Yemenis,People from the Hadhramaut region of Yemen,http://en.wikipedia.org/wiki/Hadhramaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islam,a monotheistic religion revealed through Muhammad in his capacity as the Prophet of Allah,http://en.wikipedia.org/wiki/Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East India Companies,"chartered companies formed in the seventeenth century by various European states (England, the Netherlands, Denmark, Portugal, France etc). The companies held a monopoly in trade between their respective countries and Asia",http://en.wikipedia.org/wiki/East_India_Company_(disambiguation),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tang Dynasty,a Chinese dynasty (618-907) with its capital at Chang'an,http://en.wikipedia.org/wiki/Tang_dynasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbasid dynasty,a Muslim dynasty of caliphs (750-1258) with Baghdad as its capital for most of its history,http://en.wikipedia.org/wiki/Abbasid_Caliphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sultanate,"territory held by a sultan, which is a political office that was first created by the Seljuks (1038-1194)",http://en.wikipedia.org/wiki/Sultanate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muzaffarid dynasty,"a sultanate in Gujarat, India that asserted its independence from the Delhi sultanate in 1403 and remained autonomous till it was incorporated by the Mughals in 1572",http://en.wikipedia.org/wiki/Muzaffarid_dynasty_of_Gujarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacca Sultanate,a sultanate formed c. 1400 on the Malay Peninsula. It was conquered by the Portuguese in 1511,http://en.wikipedia.org/wiki/Malacca_Sultanate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
free trade,trade without restrictions on imports and exports,http://en.wikipedia.org/wiki/Free_trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,
